Name,Link,WhoFoundIt,Description
Ecotrust Report,http://food-hub.org/regional-food-infrastructure/,alister,Regional Food Infrastructure Report
Ecotrust Report Data Dictionary,https://hackoregonagriculture.slack.com/files/alister/F07PUCSMQ/foodinfradatadictionary20150716public.xlsx,alister,Data dictionary for the Ecotrust report
USDA statistics,"http://www.agcensus.usda.gov/Publications/2012/Full_Report/Volume_1,_Chapter_1_State_Level/Oregon/",automach,PDF-encased stats from the USDA on various aspects of OR agriculture
Oregon Agriculture: Facts & Figures (state-level stats),https://hackoregonagriculture.slack.com/files/automach/F07PXSK5E/facts_and_figures.pdf,automach,
USDA's Oregon Ag data,http://www.ers.usda.gov/data-products/state-fact-sheets/state-data.aspx?reportPath=/StateFactSheets/StateFactSheets&StateFIPS=41,adam_won,
USDA/NASS QuickStats Ad-hoc Query Tool,http://quickstats.nass.usda.gov/results/23B3AB81-5E5B-38D9-8D23-2D9DEE97B9C3,adam_won,
OREGON AGRICULTURAL ENTERPRISE BUDGETS/OSU,http://arec.oregonstate.edu/oaeb/,adam_won,
EWG Farm Subsidy Database,http://farm.ewg.org/,alex,
Oregon Agriculture Meta Data,https://docs.google.com/spreadsheets/d/1Z4cA5dzyAeMbho22CFeVJVTAeBFjSiDci38lVuqyqs8/edit#gid=1826396912,milhow,
Agricultural Commodities by County 1976-2012 (OSU OAIN Database),https://docs.google.com/spreadsheets/d/17PDCJmWALrAmvH8o422prPX4UAdRHOam9LwX31VZ9xo/edit#gid=1568385862,milhow,
