"State Exports by HS Commodities"
"Current date: 04/21/2016 11:21 PM (Eastern Daylight Time)"
"Measures: Total Value ($US)"
"State: Total"
"Country: World Total"
"Commodity","Time","Total Value ($US)",
"All Commodities","2007","16,530,875,039"
"All Commodities","January 2007","1,322,707,642"
"All Commodities","February 2007","1,314,702,635"
"All Commodities","March 2007","1,463,733,024"
"All Commodities","April 2007","1,272,330,283"
"All Commodities","May 2007","1,324,529,920"
"All Commodities","June 2007","1,313,829,432"
"All Commodities","July 2007","1,198,760,832"
"All Commodities","August 2007","1,425,261,086"
"All Commodities","September 2007","1,387,895,642"
"All Commodities","October 2007","1,589,888,795"
"All Commodities","November 2007","1,454,507,185"
"All Commodities","December 2007","1,462,728,563"
"All Commodities","February 2016","1,549,522,924"
"01 Live Animals","2007","1,293,279"
"01 Live Animals","February 2007","37,114"
"01 Live Animals","March 2007","91,192"
"01 Live Animals","April 2007","142,161"
"01 Live Animals","May 2007","190,237"
"01 Live Animals","June 2007","88,038"
"01 Live Animals","July 2007","102,142"
"01 Live Animals","August 2007","131,528"
"01 Live Animals","September 2007","71,037"
"01 Live Animals","October 2007","225,215"
"01 Live Animals","November 2007","82,787"
"01 Live Animals","December 2007","131,828"
"01 Live Animals","February 2016","22,680"
"0101 Horses, Asses, Mules And Hinnies, Live","2007","732,272"
"0101 Horses, Asses, Mules And Hinnies, Live","February 2007","37,114"
"0101 Horses, Asses, Mules And Hinnies, Live","March 2007","82,514"
"0101 Horses, Asses, Mules And Hinnies, Live","April 2007","35,196"
"0101 Horses, Asses, Mules And Hinnies, Live","May 2007","59,827"
"0101 Horses, Asses, Mules And Hinnies, Live","June 2007","42,257"
"0101 Horses, Asses, Mules And Hinnies, Live","July 2007","68,162"
"0101 Horses, Asses, Mules And Hinnies, Live","August 2007","110,334"
"0101 Horses, Asses, Mules And Hinnies, Live","September 2007","31,584"
"0101 Horses, Asses, Mules And Hinnies, Live","October 2007","126,676"
"0101 Horses, Asses, Mules And Hinnies, Live","November 2007","62,852"
"0101 Horses, Asses, Mules And Hinnies, Live","December 2007","75,756"
"0101 Horses, Asses, Mules And Hinnies, Live","February 2016","19,980"
"010110 Purebred Breeding Animal","2007","166,436"
"010110 Purebred Breeding Animal","February 2007","4,531"
"010110 Purebred Breeding Animal","March 2007","48,452"
"010110 Purebred Breeding Animal","May 2007","12,975"
"010110 Purebred Breeding Animal","July 2007","6,006"
"010110 Purebred Breeding Animal","August 2007","59,860"
"010110 Purebred Breeding Animal","October 2007","5,166"
"010110 Purebred Breeding Animal","November 2007","15,389"
"010110 Purebred Breeding Animal","December 2007","14,057"
"010129 Horses, Live, Other Than Purebred Breeding","February 2016","19,980"
"010190 Mules And Hinnies, Live","2007","565,836"
"010190 Mules And Hinnies, Live","February 2007","32,583"
"010190 Mules And Hinnies, Live","March 2007","34,062"
"010190 Mules And Hinnies, Live","April 2007","35,196"
"010190 Mules And Hinnies, Live","May 2007","46,852"
"010190 Mules And Hinnies, Live","June 2007","42,257"
"010190 Mules And Hinnies, Live","July 2007","62,156"
"010190 Mules And Hinnies, Live","August 2007","50,474"
