"State Imports by HS Commodities"
"Current date: 05/12/2016 10:35 PM (Eastern Daylight Time)"
"Measures: Total Value ($US)"
"State: All States"
"Country: World Total"
"Commodity","Time","Total Value ($US)",
"All Commodities","2009","1,559,624,813,477"
"All Commodities","January 2009","122,414,556,197"
"All Commodities","February 2009","109,012,184,251"
"All Commodities","March 2009","121,358,704,390"
"All Commodities","April 2009","118,895,823,827"
"All Commodities","May 2009","116,341,492,649"
"All Commodities","June 2009","127,173,227,421"
"All Commodities","July 2009","135,695,817,657"
"All Commodities","August 2009","131,271,594,586"
"All Commodities","September 2009","141,004,477,358"
"All Commodities","October 2009","147,026,850,889"
"All Commodities","November 2009","143,324,276,766"
"All Commodities","December 2009","146,105,807,486"
"01 Live Animals","2009","2,003,827,123"
"01 Live Animals","January 2009","182,182,936"
"01 Live Animals","February 2009","197,297,147"
"01 Live Animals","March 2009","220,805,905"
"01 Live Animals","April 2009","190,473,776"
"01 Live Animals","May 2009","134,855,699"
"01 Live Animals","June 2009","121,963,226"
"01 Live Animals","July 2009","119,198,432"
"01 Live Animals","August 2009","123,978,276"
"01 Live Animals","September 2009","150,184,446"
"01 Live Animals","October 2009","175,551,304"
"01 Live Animals","November 2009","200,494,232"
"01 Live Animals","December 2009","186,841,744"
"02 Meat And Edible Meat Offal","2009","3,992,991,396"
"02 Meat And Edible Meat Offal","January 2009","373,401,837"
"02 Meat And Edible Meat Offal","February 2009","286,463,661"
"02 Meat And Edible Meat Offal","March 2009","375,128,651"
"02 Meat And Edible Meat Offal","April 2009","367,829,901"
"02 Meat And Edible Meat Offal","May 2009","339,385,795"
"02 Meat And Edible Meat Offal","June 2009","356,835,022"
"02 Meat And Edible Meat Offal","July 2009","357,402,772"
"02 Meat And Edible Meat Offal","August 2009","310,596,383"
"02 Meat And Edible Meat Offal","September 2009","276,545,836"
"02 Meat And Edible Meat Offal","October 2009","312,889,596"
"02 Meat And Edible Meat Offal","November 2009","296,464,723"
"02 Meat And Edible Meat Offal","December 2009","340,047,219"
"03 Fish, Crustaceans & Aquatic Invertebrates","2009","9,996,824,747"
"03 Fish, Crustaceans & Aquatic Invertebrates","January 2009","857,109,903"
"03 Fish, Crustaceans & Aquatic Invertebrates","February 2009","713,017,163"
"03 Fish, Crustaceans & Aquatic Invertebrates","March 2009","741,614,107"
"03 Fish, Crustaceans & Aquatic Invertebrates","April 2009","757,494,971"
"03 Fish, Crustaceans & Aquatic Invertebrates","May 2009","875,911,634"
"03 Fish, Crustaceans & Aquatic Invertebrates","June 2009","899,044,960"
"03 Fish, Crustaceans & Aquatic Invertebrates","July 2009","865,030,748"
"03 Fish, Crustaceans & Aquatic Invertebrates","August 2009","856,805,098"
